id,unique_watcher_reported,attack_type,is_validated,as_num
3,{21},Exploit,,16509.0
4,{25},Exploit,,16509.0
9,"{20354, 3587, 83714, 34181, 33423, 52497, 786, 32531, 52629, 38933, 5273, 42266, 2204, 38306, 42530, 21542, 9002, 63023, 3889, 435, 11444, 97079, 52793, 68666, 52794, 58, 92860, 18374, 29264, 50516, 4185, 62297, 6362, 78303, 93152, 71009, 39264, 26855, 13160, 26856, 876, 74870, 127}",Bruteforce,True,206728.0
78,{20},Bruteforce,True,9299.0
92,{28},Exploit,,16509.0
93,{26},Exploit,,16509.0
95,{53},Exploit,,16509.0
114,"{63782, 77576, 54740, 72791, 22111}",Bruteforce,True,4134.0
117,{22},Exploit,,16509.0
137,{20},Exploit,,16509.0
190,"{75299, 87575, 78501, 5738, 75596, 13358, 73715, 71636, 86420, 80183, 61340}",Bruteforce,True,206728.0
324,{15},Exploit,,16509.0
348,"{43553, 54278, 23786, 74573, 47, 88367, 7286, 26492}",Scanner,,47764.0
408,"{98400, 29891, 51209, 95562, 69227, 11444, 31541}",Scanner,True,63949.0
508,{25},Exploit,True,174.0
617,{290},Spammer,True,202425.0
810,{22111},Bruteforce,,4788.0
847,"{92657, 86948, 57479}",Bruteforce,,14061.0
980,{77642},Scanner,True,208323.0
1146,{53},Bruteforce,True,3269.0
1199,{77576},Bruteforce,,17557.0
1219,{10487},Spammer,True,9009.0
1230,"{44312, 69590}",Bruteforce,True,4134.0
1335,"{32960, 95396, 64904, 88367, 57183}",Scanner,,16276.0
1372,"{72693, 3626, 93845, 47}",Spammer,True,174.0
1437,{82295},Other,True,31898.0
1883,{60515},Bruteforce,True,37688.0
2145,"{100353, 100478, 100951, 101897, 101898, 101899, 101900, 100545, 101902, 101903, 101904, 101901, 101906, 101907, 101908, 101909, 101905, 101911, 101910, 101402, 100479, 101930, 99884, 101933, 101932, 101935, 101934, 99889, 99890, 101937, 101940, 101941, 101942, 99895, 101944, 99896, 99897, 101947, 101435, 101948, 101438, 99894, 101439, 101436, 101945, 100414, 101437, 101574, 101573, 100940, 100941, 99918, 99919, 100943, 100945, 100944, 100947, 100948, 100949, 100946, 100950, 100952, 100953, 100954, 100955, 101468, 100445, 101470, 99423, 101471, 100447, 100956, 100446, 101469, 101472, 100958, 99951, 101501, 101502, 101503, 100480, 101505, 101504, 101507, 101508, 101509, 101510, 101511, 101512, 101513, 101514, 101515, 101516, 101517, 101518, 101519, 100511, 99488, 100513, 100514, 100512, 101041, 101042, 101043, 101044, 101045, 101046, 101047, 101048, 101049, 101050, 101051, 101052, 101053, 101054, 101055, 101568, 101057, 101058, 100544, 101571, 101056, 101569, 101572, 101576, 101570, 101578, 101579, 101580, 101575, 101582, 101583, 101584, 101072, 101577, 101581, 101585, 101600, 100577, 101601, 101603, 101604, 101605, 101606, 101607, 101608, 101609, 101602, 101611, 101610, 101613, 101614, 101506, 101616, 101617, 101618, 101105, 101612, 100610, 100611, 100612, 100613, 100614, 99885, 100118, 100119, 100120, 99886, 100122, 99887, 99888, 100643, 100644, 100645, 100646, 100647, 100648, 100649, 100650, 100651, 100652, 100653, 100654, 100655, 100656, 99891, 100657, 100658, 100148, 100149, 99892, 100150, 99893, 100676, 99898, 101205, 101936, 100709, 101938, 101939, 101943, 100742, 100743, 100744, 100745, 100746, 100747, 100748, 100749, 100750, 100751, 100752, 100753, 100754, 100755, 100756, 100757, 100758, 100759, 101946, 99752, 99753, 99754, 99755, 99756, 99757, 99758, 99759, 99760, 99761, 99762, 99763, 99764, 99765, 99766, 101303, 101304, 101305, 99769, 99768, 99917, 99767, 101831, 101336, 101337, 101338, 100942, 101864, 101865, 99818, 101369}",Bruteforce,,13335.0
2165,{71736},Scanner,,63949.0
2215,"{11712, 90149, 10092, 90512, 83088, 58933, 66455, 58040}",Scanner,,30633.0
2238,"{95365, 64904, 66455, 7319, 43289, 71834, 100379, 77083, 41376, 90149, 42664, 93482, 66092, 88367, 561, 25139, 46259, 24249, 77115, 2237, 61373, 32960, 94274, 86981, 84935, 59724, 66125, 51407, 96848, 97360, 52177, 94803, 77015, 95066, 37085, 96221, 99422, 22111, 73187, 31971, 22631, 92263, 44016, 34676, 636, 22269, 65663}",Scanner,,30633.0
2252,"{8705, 458, 47, 88367, 7286, 66455}",Scanner,,12876.0
2374,{99059},Bruteforce,True,45090.0
2447,{104},Scanner,,209366.0
2449,"{60284, 3589}",Bruteforce,True,12322.0
2481,{76916},Bruteforce,,14061.0
2511,"{87641, 787, 84110, 66455}",Scanner,,24940.0
2533,"{56588, 63122, 57875, 97046, 50582, 792, 11545, 100379, 77083, 61472, 84770, 90149, 34214, 37415, 66092, 101171, 58933, 76984, 48570, 95165, 32960, 30914, 82757, 49099, 66125, 41177, 6362, 99422, 57183, 26591, 22113, 26723, 22116, 95331, 22631, 92263, 26856, 94837, 49526, 99323}",Scanner,True,30633.0
2536,"{31113, 7319, 43322, 71867, 85661}",Bruteforce,True,133774.0
2567,"{30849, 517, 64904, 792, 77083, 13853, 31013, 90149, 66092, 686, 55598, 561, 3889, 48570, 191, 32960, 94274, 82757, 41177, 6362, 52826, 9695, 22116, 92263, 624, 94837, 65663}",Scanner,True,29695.0
2707,"{91931, 78005}",Bruteforce,,45090.0
2719,{98400},Scanner,,36351.0
2778,"{90149, 51209, 88367, 67247, 72791, 95165}",Scanner,,47764.0
2807,"{90149, 51209, 77642, 88367, 67247, 72791, 95165}",Scanner,,47764.0
2853,"{32960, 30849, 6494, 90149, 54278, 84935, 585, 66092, 561, 94837, 758, 57017, 19133, 63518, 191}",Scanner,True,24940.0
2859,"{32960, 94274, 31971, 585, 27119, 92657, 94837, 97046, 77083}",Scanner,True,24940.0
2903,"{82757, 758, 19133, 6494, 98399}",Scanner,True,24940.0
2911,"{9794, 96155, 66455}",Scanner,,47764.0
2913,"{161, 454, 22631, 64904, 585, 66092, 19661, 55598, 77083, 561, 58898, 41177, 99323, 67742, 65663}",Scanner,True,24940.0
2939,"{83714, 60548, 65927, 83088, 43157, 43158, 66455, 42266, 63518, 76322, 95396, 44973, 67247, 88367, 561, 90546, 11444, 58933, 72758, 24249, 77115, 61373, 19133, 95165, 32960, 94274, 585, 59724, 74573, 66125, 51407, 96848, 97360, 94675, 75992, 52826, 6494, 95200, 23786, 43124, 98037, 33524}",Scanner,,24940.0
2991,"{64904, 93449, 43025, 97046, 100379, 96155, 77083, 87839, 95264, 34214, 66092, 94637, 69293, 55598, 88367, 561, 25139, 94903, 76984, 24249, 36029, 98879, 32960, 94274, 82757, 458, 66125, 94671, 97360, 77015, 75992, 95066, 37085, 22111, 95200, 22113, 57183, 22116, 95332, 43124, 77048, 99323}",Scanner,,30633.0
3007,"{66455, 92263, 49526, 47}",Scanner,,47764.0
3064,"{22631, 64904, 585, 715, 66092}",Scanner,True,24940.0
3065,"{22116, 66092, 33524, 42068, 61373}",Scanner,,51167.0
3108,"{384, 609, 517, 716, 3789, 561, 792, 603, 797, 703}",Scanner,,50300.0
3160,"{90149, 51209, 88367, 67247, 72791, 64475, 95165}",Scanner,,47764.0
3169,"{585, 61373}",Scanner,True,51167.0
3177,"{36128, 8705, 94274, 32960, 84935, 99323}",Scanner,True,24940.0
3218,"{83384, 66092, 98399}",Scanner,True,24940.0
3257,"{31971, 66092, 92263}",Scanner,True,24940.0
3309,"{95365, 93449, 83088, 63122, 66455, 24218, 100379, 96155, 13853, 77083, 91935, 95264, 76322, 20387, 95396, 31013, 17186, 80680, 66092, 94637, 55598, 88367, 25007, 3889, 90546, 25139, 561, 94901, 439, 65597, 61373, 33983, 32960, 44477, 94274, 9794, 95165, 44741, 82757, 95430, 66125, 51407, 96848, 97360, 42068, 19925, 99158, 36953, 92, 22111, 98399, 22113, 59360, 99686, 92263, 72296, 32234, 23786, 10092, 97772, 86387}",Scanner,,30633.0
3320,"{94208, 1029, 521, 93449, 56588, 84110, 87443, 59030, 86552, 77083, 95132, 77084, 90149, 80680, 66092, 88367, 561, 90546, 46259, 58933, 24249, 191, 32960, 44741, 82757, 59724, 74573, 51407, 96848, 97360, 77015, 77016, 99422, 98399, 22113, 36194, 22116, 92263, 90216, 10092, 44016, 36722, 43124, 94837}",Scanner,,30633.0
3327,"{43553, 23786, 47, 88367, 7286}",Scanner,,47764.0
3364,"{37482, 422, 98399}",Scanner,True,24940.0
3393,"{64904, 93449, 43158, 43553, 88367, 61373, 36030, 703, 32960, 66125, 97360, 76883, 91733, 61274, 6494, 42465, 90216, 33524, 758}",Scanner,,24940.0
3432,"{95365, 95430, 22631, 44741, 38504, 77576, 98729, 66092, 64904, 88367, 38802, 58898, 43124, 43157, 33524, 66455, 73880, 61373}",Scanner,,24940.0
3472,{58},Other,True,3215.0
3482,"{31971, 37482, 66092, 41177, 77083, 6494, 65663}",Scanner,True,24940.0
3491,"{32960, 7286, 66455}",Scanner,,47764.0
3502,"{43553, 23786, 74573, 47, 88367, 24249, 26492}",Scanner,,47764.0
3557,"{95201, 67, 88367, 27119, 43124, 43157, 43158, 94903, 33524, 191}",Scanner,,51167.0
3580,"{94208, 95365, 77576, 43157, 43158, 66455, 24218, 13853, 63518, 66092, 88367, 76984, 24249, 61373, 32960, 73154, 16460, 97360, 6362, 6494, 43124, 33524}",Scanner,,13188.0
3614,"{43553, 23786, 74573, 47, 88367, 7286}",Scanner,,47764.0
3616,"{43553, 54278, 23786, 47, 88367, 7286, 24249}",Scanner,,47764.0
3617,{191},Scanner,,32097.0
3642,"{61472, 22116, 66092, 88367, 97360, 86387, 43124, 94837, 66455, 71867, 61373, 6494}",Scanner,,24940.0
3670,"{95365, 64904, 521, 88202, 93449, 87311, 83088, 58898, 63122, 66455, 100379, 77083, 87839, 95264, 90149, 34214, 66092, 88367, 3889, 561, 25139, 11444, 58933, 94901, 77114, 77115, 95165, 32960, 28868, 86981, 44741, 77642, 49099, 59724, 22862, 51407, 96848, 97360, 75992, 96089, 95066, 99422, 95199, 95200, 22113, 98399, 92263, 26856, 10092, 72560, 94837, 99323}",Scanner,,30633.0
3746,"{86784, 64904, 83088, 38802, 63122, 43157, 43158, 55829, 66455, 95000, 59030, 792, 95132, 67742, 43553, 76322, 3626, 66092, 88367, 3889, 561, 46259, 24249, 77115, 92988, 61373, 95165, 32960, 91073, 94274, 95300, 82757, 33224, 51275, 74573, 51407, 96848, 94803, 42068, 99158, 97112, 95066, 57183, 22113, 36194, 22116, 92263, 90216, 23786, 97772, 4717, 49262, 49394, 94836, 43124, 33524}",Scanner,,30633.0
3758,"{32960, 83714, 31971, 90149, 22631, 66092, 561, 58933, 95165}",Scanner,True,32097.0
3777,"{32960, 54278, 64904, 55598, 6494}",Scanner,True,24940.0
3789,"{43157, 43158, 66455, 24218, 88367, 25139, 72758, 94904, 61373, 44477, 94274, 9794, 86981, 95430, 97360, 6362, 80480, 77543, 10092, 27119, 43124, 33524}",Scanner,,24940.0
3818,"{93649, 458, 61373, 66455}",Scanner,,47764.0
3832,"{64904, 43157, 43158, 66455, 42266, 88367, 77115, 71867, 61373, 32960, 86981, 95430, 585, 100313, 6494, 59360, 42465, 43124, 98037, 33524}",Scanner,,24940.0
3856,"{66092, 88367, 51407, 94837, 66455, 77116, 61373}",Scanner,,51167.0
